,datetime,ipsrc,ipdst,dstport,proto,action,policyid,is_ip_bad
211,2024-03-11 12:35:43,34.117.237.239,192.168.182.130,54120,TCP,Deny,34,False
212,2024-03-11 12:35:43,34.117.237.239,192.168.182.130,54120,TCP,Deny,34,False
213,2024-03-11 12:35:43,34.117.237.239,192.168.182.130,54120,TCP,Deny,34,False
214,2024-03-11 12:36:19,34.107.243.93,192.168.182.130,46280,TCP,Deny,34,False
215,2024-03-11 12:36:19,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
216,2024-03-11 12:36:19,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
217,2024-03-11 12:36:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
218,2024-03-11 12:36:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
219,2024-03-11 12:36:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
220,2024-03-11 12:36:43,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
221,2024-03-11 12:36:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
222,2024-03-11 12:37:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
223,2024-03-11 12:37:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
224,2024-03-11 12:37:35,192.168.182.2,192.168.182.130,33326,UDP,Permit,6,False
225,2024-03-11 12:37:35,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
226,2024-03-11 12:37:35,159.84.181.103,192.168.182.130,34884,TCP,Deny,34,False
227,2024-03-11 12:37:35,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
228,2024-03-11 12:37:40,159.84.181.103,192.168.182.130,34884,TCP,Deny,34,False
229,2024-03-11 12:37:40,159.84.181.103,192.168.182.130,34884,TCP,Deny,34,False
230,2024-03-11 12:37:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
231,2024-03-11 12:37:44,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
232,2024-03-11 12:37:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
233,2024-03-11 12:37:51,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
234,2024-03-11 12:37:54,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
235,2024-03-11 12:38:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
236,2024-03-11 12:38:46,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
237,2024-03-11 12:39:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
238,2024-03-11 12:39:50,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
239,2024-03-11 12:40:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
240,2024-03-11 12:41:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
241,2024-03-11 12:41:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
242,2024-03-11 12:41:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
243,2024-03-11 12:41:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
244,2024-03-11 12:41:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
245,2024-03-11 12:42:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
246,2024-03-11 12:42:55,192.168.182.2,192.168.182.130,37935,UDP,Permit,6,False
247,2024-03-11 12:42:55,44.239.242.57,192.168.182.130,41330,TCP,Deny,34,False
248,2024-03-11 12:43:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
249,2024-03-11 12:43:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
250,2024-03-11 12:43:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
251,2024-03-11 12:43:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
252,2024-03-11 12:44:07,172.217.20.170,192.168.182.130,37538,TCP,Deny,34,False
253,2024-03-11 12:44:07,172.217.20.170,192.168.182.130,37538,TCP,Deny,34,False
254,2024-03-11 12:44:07,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
255,2024-03-11 12:44:30,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
256,2024-03-11 12:44:30,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
257,2024-03-11 12:44:44,142.250.179.99,192.168.182.130,53388,TCP,Deny,34,False
258,2024-03-11 12:45:10,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
259,2024-03-11 12:45:10,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
260,2024-03-11 12:45:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
261,2024-03-11 12:45:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
262,2024-03-11 12:45:50,159.84.181.226,192.168.182.130,34106,TCP,Deny,34,False
263,2024-03-11 12:46:05,34.107.243.93,192.168.182.130,46280,TCP,Deny,34,False
264,2024-03-11 12:46:05,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
265,2024-03-11 12:46:05,10.70.68.218,192.168.182.130,60946,TCP,Deny,34,False
